00:01,28,41,5,758,24
00:01,6,31,32,469,24
00:01,63,2,4,833,24
00:02,46,48,4,527,24
00:03,17,37,6,877,24
00:03,49,41,19,665,24
00:41,2,37,5,287,24
00:45,54,1,4,236,24
00:57,53,26,5,299,24
01:13,40,3,6,859,24
01:29,68,18,4,584,24
01:32,70,28,12,296,24
01:54,57,45,20,583,8
02:13,51,13,6,448,24
02:23,17,24,19,162,8
03:19,15,26,49,549,24
03:24,22,25,5,526,24
03:35,42,27,5,389,8
04:17,68,50,5,348,24
04:26,64,40,5,577,24
05:09,6,28,55,751,24
05:16,50,47,5,893,8
05:17,60,21,4,898,24
05:41,12,45,6,623,24
05:58,27,24,4,332,8
06:05,12,37,16,192,24
06:05,46,16,9,313,4
06:38,27,24,5,214,24
06:49,64,50,4,473,24
07:29,13,32,4,319,24
07:34,65,18,5,388,24
07:51,68,45,4,11,24
08:10,18,50,5,605,24
08:31,34,4,52,353,24
08:37,49,2,6,571,24
08:43,60,34,6,3,8
09:01,59,42,4,392,24
09:42,36,4,6,685,24
09:42,67,1,5,715,24
09:48,62,50,30,44,24
10:31,64,5,6,278,24
10:43,1,27,5,657,24
11:30,42,15,5,632,24
11:34,47,49,6,625,24
12:17,9,11,19,785,24
12:19,15,32,5,745,24
12:35,52,7,6,632,24
13:09,60,50,5,363,24
13:37,22,2,5,413,24
13:58,41,25,6,661,24
14:28,64,31,6,159,24
14:52,12,9,6,328,8
14:57,39,15,20,876,24
15:29,22,35,6,876,24
15:39,54,6,21,117,24
15:46,38,13,8,366,24
15:55,33,29,4,44,8
16:30,28,33,5,832,24
16:37,21,20,5,877,24
17:14,39,16,5,683,3
17:21,18,49,5,616,24
17:30,57,32,4,821,24
18:09,50,39,2,478,2
18:12,44,8,3,245,24
18:13,34,32,6,162,8
18:14,67,42,5,492,8
18:20,38,25,5,708,4
18:31,61,43,10,427,4
18:43,54,35,2,769,2
19:03,17,18,2,138,24
19:03,21,9,5,680,4
19:16,10,25,5,703,24
19:17,7,39,5,371,24
19:23,30,19,3,505,24
19:44,54,34,5,236,24
19:52,43,24,4,530,4
19:54,4,12,4,477,8
20:09,64,36,5,728,8
20:13,68,1,6,858,24
20:21,8,7,20,543,8
20:32,33,38,7,59,8
20:35,53,43,6,34,4
20:43,43,36,11,368,24
21:02,49,20,2,225,2
21:21,58,32,2,796,24
21:23,70,36,5,294,4
21:36,14,35,5,451,8
21:41,66,8,4,191,4
21:44,30,28,5,610,3
22:16,59,22,5,803,4
22:20,56,28,3,579,4
22:27,55,28,4,184,8
22:41,3,5,5,40,4
22:50,49,33,5,226,3
22:51,31,22,4,390,3
23:08,39,23,5,576,3
23:09,44,33,5,709,3
23:37,35,26,2,807,2
23:38,41,28,2,433,2
